特别提示：
1.本记账单内容可表明支付宝受理了相应记账明细申请，因系统原因或通讯故障等偶发因素导致本记账单与实际记账结果不符时，以实际记账情况为准；
2.请勿将本记账单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作;
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本记账单进行重复记账;
4.本记账单如经任何涂改、编造，均立即失去效力；
5.部分记账如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.禁止将本记账单用于非法用途；
7.本明细仅展示当前记账本中的明细，不包括己删除的记录；
8.本明细仅供个人记账使用。

记录时间,分类,收支类型,金额,备注,账户,来源,标签,
2025-10-08 12:12:27,投资理财,收入,0.11,理财派息-盛智存5号,,账单同步,,
2025-10-07 10:09:13,借还款,不计收支,1，293.39,花呗主动还款-2025年10月账单,余额宝|花呗,账单同步,,
2025-10-07 10:04:45,购物,支出,16.40,【活动价】闪魔适用华为GT6钢化手表膜新款GT6Pro保护膜GT5智能手表Watch康宁玻璃全屏GT6表盘高清防爆覆,花呗,账单同步,,
2025-10-07 09:46:55,学习,支出,20.00,喜马拉雅-订单编号:202510074001261007869091455,余额宝,账单同步,,
2025-10-06 19:52:32,投资理财,不计收支,40，000.00,余额宝-单次转入,余额宝|中国工商银行,账单同步,,
2025-10-06 18:24:14,购物,支出,10，999.00,Apple/苹果 iPhone 17 Pro,花呗,账单同步,,
2025-10-06 18:20:40,餐饮,支出,146.00,美团/大众点评点餐订单-10064719799622127518758,,微信导入,,
2025-10-06 12:21:45,生活日用,支出,52.06,永辉超市(宝安大仟里店),花呗,账单同步,,
2025-10-05 19:59:18,其他,支出,14.90,mqw048402162401,,微信导入,,
2025-10-05 19:49:40,其他,支出,15.00,【堂食】_深圳宝安西乡天虹店_150819_B060415_无_无,,微信导入,,
2025-10-05 19:47:48,其他,支出,44.57,消费：广东深圳西乡天虹店,,微信导入,,
2025-10-05 19:20:11,其他,支出,23.51,滴滴快车打车-赵师傅-10月05日行程,,微信导入,,
2025-10-05 18:09:41,其他,支出,2，300.00,,,微信导入,,
2025-10-05 16:50:18,生活日用,支出,300.00,Meituan-米可造型烫染接发直营店（西乡天虹店）,,微信导入,,
2025-10-05 11:55:10,餐饮,支出,29.26,蛙来哒·牛蛙(深圳宝安西乡天虹店)外卖订单,花呗,账单同步,,
2025-10-05 07:10:12,其他,支出,3.00,0079沪昆长南一店-消费,,微信导入,,
2025-10-04 12:00:34,其他,支出,3.00,免押租借充电宝,,微信导入,,
2025-10-03 15:25:10,其他,支出,5.00,新A1YA01-雨花区湘府十城,,微信导入,,
2025-10-03 09:57:42,其他,支出,460.00,消费订单-XY20251003095736305415438,,微信导入,,
2025-10-03 00:52:15,其他,支出,192.00,商品-杭州蒂蓝信息技术有限公司,花呗,账单同步,,
2025-10-02 12:50:15,生活服务,支出,49.89,话费自动充值,花呗,账单同步,,
2025-10-02 02:21:26,其他,支出,99.00,goodsName,,微信导入,,
2025-10-01 19:37:07,其他,支出,5.00,新A1YA01-雨花区湘府十城,,微信导入,,
2025-10-01 15:50:43,其他,支出,2，867.39,卢思如_云福公寓802房2025年10月房租,,微信导入,,
2025-10-01 12:13:39,投资理财,收入,0.11,理财派息-盛智存5号,,账单同步,,
2025-09-30 17:24:02,穿搭美容,支出,17.64,男士斜挎包背包防水斜挎包男通勤包多口袋做生意收钱包休闲单肩包,花呗,账单同步,,
2025-09-27 18:50:28,餐饮,支出,112.80,探唐烧烤·海鲜·烧烤(金海店)外卖订单,花呗,账单同步,,
2025-09-26 16:47:36,休闲玩乐,支出,68.00,精英战令|燕云十六声,余额宝,账单同步,,
2025-09-26 00:55:17,购物,支出,1，538.00,【新品上市】HUAWEI WATCH GT 6华为手表多维情绪健康全新骑行体验21天超长续航玄玑感知系统华为官方正品,花呗,账单同步,,
2025-09-25 23:08:00,退款,不计收支,37.50,退款-火车票,花呗,账单同步,,
2025-09-25 18:24:54,交通,支出,388.50,火车票,花呗,账单同步,,
2025-09-25 12:15:42,交通,支出,459.00,火车票,花呗,账单同步,,
2025-09-24 18:23:07,餐饮,支出,33.00,麦当劳&麦咖啡(深圳新湖路店)外卖订单,花呗,账单同步,,
2025-09-24 12:12:54,投资理财,收入,0.11,理财派息-盛智存5号,,账单同步,,
2025-09-23 21:17:33,其他,支出,5.80,百度网盘超级会员(7天-自动续费月卡)(首充),花呗,账单同步,,
2025-09-23 19:09:09,休闲玩乐,支出,30.00,月卡,花呗,账单同步,,
2025-09-22 22:35:36,生活服务,支出,49.90,为133****9070充值50.0元，谨防诈骗,花呗,账单同步,,
2025-09-22 05:49:39,其他,支出,10.00,饿了么超级吃货卡,花呗,账单同步,,
2025-09-21 18:38:25,借还款,不计收支,696.68,花呗主动还款-2025年10月账单,中国工商银行|花呗,账单同步,,
